timestamp,Daily_kWh
2024-01-01,414.8636064826195
2024-01-02,566.18152525897
2024-01-03,634.3670457931593
2024-01-04,612.4316039740703
2024-01-05,517.1170130355025
2024-01-06,423.0347308718199
2024-01-07,626.0118574222287
2024-01-08,695.6482038915283
2024-01-09,214.05157883014763
2024-01-10,146.63806116791912
2024-01-11,447.5216486114935
2024-01-12,893.4689873354042
2024-01-13,883.5789358097671
2024-01-14,550.176199063461
2024-01-15,759.8480874304504
2024-01-16,714.3802254796282
2024-01-17,702.4458893112019
2024-01-18,899.9762226714682
2024-01-19,183.12267200908812
2024-01-20,949.4714843354968
2024-01-21,880.8922085256929
2024-01-22,349.4220860695575
2024-01-23,690.7898513144399
2024-01-24,699.9965834681661
2024-01-25,942.4190766688312
2024-01-26,859.4939808875572
2024-01-27,649.6665666737553
2024-01-28,709.1361575914008
2024-01-29,787.8762744532663
2024-01-30,174.70296222712145
2024-01-31,894.2251771847675
2024-02-01,276.8443502194274
2024-02-02,577.3099959781688
2024-02-03,865.7849143967859
2024-02-04,425.3424615591405
2024-02-05,302.77693298584023
2024-02-06,885.794653706991
2024-02-07,930.8973121934397
2024-02-08,552.6256891035096
2024-02-09,202.71545520674573
2024-02-10,739.0905703756579
2024-02-11,833.3358460133525
2024-02-12,752.7627760643361
2024-02-13,463.70487345030546
2024-02-14,785.5831247053555
2024-02-15,867.2823418174522
2024-02-16,776.4575309832319
2024-02-17,668.7222913825245
2024-02-18,938.8425097440353
2024-02-19,856.9606977725198
2024-02-20,799.3802139885706
2024-02-21,551.8537610090989
2024-02-22,647.9284393312968
2024-02-23,990.149586217701
2024-02-24,1018.3611239807847
2024-02-25,725.6542656376694
2024-02-26,456.71438054839973
2024-02-27,744.3443242267501
2024-02-28,714.1156936967411
2024-02-29,359.40051350695455
2024-03-01,285.5998578757864
2024-03-02,871.1752058142629
2024-03-03,650.6950712526273
2024-03-04,372.71335234057955
2024-03-05,863.827213709595
2024-03-06,687.3311595206167
2024-03-07,310.3887593316935
2024-03-08,397.13314387263034
2024-03-09,834.7713776174339
2024-03-10,872.3965007423061
2024-03-11,458.61825294951205
2024-03-12,824.6928779311675
2024-03-13,915.6228938929665
2024-03-14,853.6347070555925
2024-03-15,860.4441208675102
2024-03-16,509.85958201416275
2024-03-17,367.3634112051725
2024-03-18,715.0928935023517
2024-03-19,856.7310230718862
2024-03-20,819.8993219779901
2024-03-21,731.0387517416831
2024-03-22,764.5765251787811
2024-03-23,774.5958575685573
2024-03-24,692.2215994266842
2024-03-25,723.7472032828972
2024-03-26,259.2555083626533
2024-03-27,820.7955063577713
2024-03-28,772.2830735805035
2024-03-29,676.6903479938842
2024-03-30,238.1823789484821
2024-03-31,176.04647857109376
2024-04-01,173.57301474162563
